64 112 6 0 0
1	6	6	-45.5
2	6	6	-45
3	5.967	5.967	-44.001
4	5.939	5.939	-43.127
5	5.333	5.333	-24.614
6	-6	6	-45.5
7	-6	6	-45
8	-5.967	5.967	-44.001
9	-5.939	5.939	-43.127
10	-5.333	5.333	-24.614
11	-6	-6	-45.5
12	-6	-6	-45
13	-5.967	-5.967	-44.001
14	-5.939	-5.939	-43.127
15	-5.333	-5.333	-24.614
16	6	-6	-45.5
17	6	-6	-45
18	5.967	-5.967	-44.001
19	5.939	-5.939	-43.127
20	5.333	-5.333	-24.614
21	4.82	4.82	-8.922
22	4.385	4.385	4.378
23	4.016	4.016	15.651
24	4	4	16.15
25	-4.82	4.82	-8.922
26	-4.385	4.385	4.378
27	-4.016	4.016	15.651
28	-4	4	16.15
29	-4.82	-4.82	-8.922
30	-4.385	-4.385	4.378
31	-4.016	-4.016	15.651
32	-4	-4	16.15
33	4.82	-4.82	-8.922
34	4.385	-4.385	4.378
35	4.016	-4.016	15.651
36	4	-4	16.15
37	5.62	0	-33.373
38	-5.62	0	-33.373
39	0	5.62	-33.373
40	0	-5.62	-33.373
41	5.064	0	-16.371
42	-5.064	0	-16.371
43	0	5.064	-16.371
44	0	-5.064	-16.371
45	4.592	0	-1.958
46	-4.592	0	-1.958
47	0	4.592	-1.958
48	0	-4.592	-1.958
49	4.193	0	10.262
50	-4.193	0	10.262
51	0	4.193	10.262
52	0	-4.193	10.262
53	4	4	20.15
54	-4	4	20.15
55	4	-4	20.15
56	-4	-4	20.15
57	6	-6	-49.5
58	6	6	-49.5
59	-6	-6	-49.5
60	-6	6	-49.5
61	6	-6	-50
62	6	6	-50
63	-6	-6	-50
64	-6	6	-50
1	1	2	2	2
2	2	3	2	2
3	3	4	2	2
4	4	5	2	2
5	6	7	2	2
6	7	8	2	2
7	8	9	2	2
8	9	10	2	2
9	11	12	2	2
10	12	13	2	2
11	13	14	2	2
12	14	15	2	2
13	16	17	2	2
14	17	18	2	2
15	18	19	2	2
16	19	20	2	2
17	5	21	3	3
18	21	22	3	3
19	22	23	3	3
20	23	24	3	3
21	10	25	3	3
22	25	26	3	3
23	26	27	3	3
24	27	28	3	3
25	15	29	3	3
26	29	30	3	3
27	30	31	3	3
28	31	32	3	3
29	20	33	3	3
30	33	34	3	3
31	34	35	3	3
32	35	36	3	3
33	3	8	1	1
34	8	13	1	1
35	13	18	1	1
36	18	3	1	1
37	4	37	1	1
38	37	20	1	1
39	19	37	1	1
40	37	5	1	1
41	9	38	1	1
42	38	15	1	1
43	14	38	1	1
44	38	10	1	1
45	4	39	1	1
46	39	10	1	1
47	9	39	1	1
48	39	5	1	1
49	19	40	1	1
50	40	15	1	1
51	14	40	1	1
52	40	20	1	1
53	5	41	1	1
54	41	33	1	1
55	20	41	1	1
56	41	21	1	1
57	10	42	1	1
58	42	29	1	1
59	15	42	1	1
60	42	25	1	1
61	5	43	1	1
62	43	25	1	1
63	10	43	1	1
64	43	21	1	1
65	20	44	1	1
66	44	29	1	1
67	15	44	1	1
68	44	33	1	1
69	21	45	1	1
70	45	34	1	1
71	33	45	1	1
72	45	22	1	1
73	25	46	1	1
74	46	30	1	1
75	29	46	1	1
76	46	26	1	1
77	21	47	1	1
78	47	26	1	1
79	25	47	1	1
80	47	22	1	1
81	33	48	1	1
82	48	30	1	1
83	29	48	1	1
84	48	34	1	1
85	22	49	1	1
86	49	35	1	1
87	34	49	1	1
88	49	23	1	1
89	26	50	1	1
90	50	31	1	1
91	30	50	1	1
92	50	27	1	1
93	22	51	1	1
94	51	27	1	1
95	26	51	1	1
96	51	23	1	1
97	34	52	1	1
98	52	31	1	1
99	30	52	1	1
100	52	35	1	1
101	24	53	4	4
102	28	54	4	4
103	32	56	4	4
104	36	55	4	4
105	1	58	5	5
106	16	57	5	5
107	6	60	5	5
108	11	59	5	5
109	58	62	6	6
110	57	61	6	6
111	60	64	6	6
112	59	63	6	6
1	2.10E+11	8.0769E+10	8502	0.8	0.02	
2	2.10E+11	8.0769E+10	8502	1.2	0.05	
3	2.10E+11	8.0769E+10	8502	1.2	0.035	
4	2.10E+11	8.0769E+10	8502	1.2	0.035	
5	2.10E+11	8.0769E+10	8502	2.082	0.6	
6	2.10E+11	8.0769E+10	8502	2.082	0.6	

