r/R [-],  Gamma [m^2/s]
0.048488,     0.000000
0.087326,     0.442312
0.126163,     6.909277
0.165000,    23.678557
0.203837,    55.650700
0.242674,    74.091529
0.281512,    84.205843
0.320349,    88.740429
0.359186,    89.730814
0.398023,    88.568114
0.436860,    87.114743
0.475698,    86.110557
0.514535,    85.705529
0.553372,    85.215829
0.592209,    84.547371
0.631047,    83.774329
0.669884,    82.889157
0.708721,    81.635600
0.747558,    79.788700
0.786395,    77.195200
0.825233,    73.765100
0.864070,    69.275900
0.902907,    62.965400
0.941744,    53.603300
0.980581,    39.854000
