## This file was generated by InflowWind_Driver on 31-Mar-2021 at 11:44:43.
## This file contains the wind velocity at a grid of points at each requested timestep
## It is arranged as blocks of X,Y,Z,U,V,W at each timestep
## Each block is separated by two blank lines for use in gnuplot
# 
#  Requested data:
#    Dimension             Range             Stepsize       Num. points
#   -------------------------------------------------------------------
#       X         -4.50    ->    4.50          1.00             10
#       Y         -4.50    ->    4.50          1.00             10
#       Z        145.50    ->  154.50          1.00             10
#       T          0.0000  ->    1.0000        0.1000           10     
# 
# 
#           X              Y              Z              U              V              W
#          (m)            (m)            (m)           (m/s)          (m/s)          (m/s)



# Time: 0
    -4.5000000       -4.5000000      145.5000000       16.924       -1.859       -1.551
    -4.5000000       -3.5000000      145.5000000       16.895       -1.234       -1.314
    -4.5000000       -2.5000000      145.5000000       16.865       -0.610       -1.078
    -4.5000000       -1.5000000      145.5000000       16.836        0.015       -0.842
    -4.5000000       -0.5000000      145.5000000       16.806        0.640       -0.606
    -4.5000000        0.5000000      145.5000000       16.886        0.953       -0.532
    -4.5000000        1.5000000      145.5000000       17.075        0.955       -0.621
    -4.5000000        2.5000000      145.5000000       17.263        0.958       -0.711
    -4.5000000        3.5000000      145.5000000       17.452        0.960       -0.800
    -4.5000000        4.5000000      145.5000000       17.641        0.962       -0.889
    -4.5000000       -4.5000000      146.5000000       16.851       -1.718       -1.638
    -4.5000000       -3.5000000      146.5000000       16.817       -1.255       -1.417
    -4.5000000       -2.5000000      146.5000000       16.783       -0.791       -1.195
    -4.5000000       -1.5000000      146.5000000       16.750       -0.328       -0.973
    -4.5000000       -0.5000000      146.5000000       16.716        0.136       -0.751
    -4.5000000        0.5000000      146.5000000       16.808        0.355       -0.643
    -4.5000000        1.5000000      146.5000000       17.025        0.330       -0.648
    -4.5000000        2.5000000      146.5000000       17.243        0.305       -0.654
    -4.5000000        3.5000000      146.5000000       17.461        0.279       -0.660
    -4.5000000        4.5000000      146.5000000       17.678        0.254       -0.665
    -4.5000000       -4.5000000      147.5000000       16.778       -1.577       -1.726
    -4.5000000       -3.5000000      147.5000000       16.740       -1.275       -1.519
    -4.5000000       -2.5000000      147.5000000       16.702       -0.973       -1.311
    -4.5000000       -1.5000000      147.5000000       16.664       -0.670       -1.104
    -4.5000000       -0.5000000      147.5000000       16.625       -0.368       -0.897
    -4.5000000        0.5000000      147.5000000       16.730       -0.243       -0.754
    -4.5000000        1.5000000      147.5000000       16.976       -0.295       -0.676
    -4.5000000        2.5000000      147.5000000       17.223       -0.348       -0.598
    -4.5000000        3.5000000      147.5000000       17.469       -0.401       -0.519
    -4.5000000        4.5000000      147.5000000       17.716       -0.454       -0.441
    -4.5000000       -4.5000000      148.5000000       16.706       -1.437       -1.814
    -4.5000000       -3.5000000      148.5000000       16.663       -1.295       -1.621
    -4.5000000       -2.5000000      148.5000000       16.620       -1.154       -1.428
    -4.5000000       -1.5000000      148.5000000       16.577       -1.013       -1.235
    -4.5000000       -0.5000000      148.5000000       16.535       -0.871       -1.042
    -4.5000000        0.5000000      148.5000000       16.651       -0.841       -0.865
    -4.5000000        1.5000000      148.5000000       16.927       -0.921       -0.703
    -4.5000000        2.5000000      148.5000000       17.202       -1.001       -0.541
    -4.5000000        3.5000000      148.5000000       17.478       -1.082       -0.379
    -4.5000000        4.5000000      148.5000000       17.753       -1.162       -0.217
    -4.5000000       -4.5000000      149.5000000       16.633       -1.296       -1.901
    -4.5000000       -3.5000000      149.5000000       16.586       -1.315       -1.723
    -4.5000000       -2.5000000      149.5000000       16.538       -1.335       -1.544
    -4.5000000       -1.5000000      149.5000000       16.491       -1.355       -1.366
    -4.5000000       -0.5000000      149.5000000       16.444       -1.375       -1.188
    -4.5000000        0.5000000      149.5000000       16.573       -1.439       -0.976
    -4.5000000        1.5000000      149.5000000       16.877       -1.546       -0.730
    -4.5000000        2.5000000      149.5000000       17.182       -1.654       -0.484
    -4.5000000        3.5000000      149.5000000       17.486       -1.762       -0.239
    -4.5000000        4.5000000      149.5000000       17.791       -1.870        0.007
    -4.5000000       -4.5000000      150.5000000       16.607       -1.172       -1.961
    -4.5000000       -3.5000000      150.5000000       16.569       -1.275       -1.783
    -4.5000000       -2.5000000      150.5000000       16.532       -1.378       -1.605
    -4.5000000       -1.5000000      150.5000000       16.494       -1.482       -1.428
    -4.5000000       -0.5000000      150.5000000       16.456       -1.585       -1.250
    -4.5000000        0.5000000      150.5000000       16.594       -1.690       -1.029
    -4.5000000        1.5000000      150.5000000       16.908       -1.797       -0.766
    -4.5000000        2.5000000      150.5000000       17.222       -1.903       -0.503
    -4.5000000        3.5000000      150.5000000       17.536       -2.010       -0.239
    -4.5000000        4.5000000      150.5000000       17.850       -2.117        0.024
    -4.5000000       -4.5000000      151.5000000       16.628       -1.065       -1.992
    -4.5000000       -3.5000000      151.5000000       16.614       -1.174       -1.801
    -4.5000000       -2.5000000      151.5000000       16.600       -1.284       -1.610
    -4.5000000       -1.5000000      151.5000000       16.585       -1.393       -1.420
    -4.5000000       -0.5000000      151.5000000       16.571       -1.502       -1.229
    -4.5000000        0.5000000      151.5000000       16.716       -1.595       -1.026
    -4.5000000        1.5000000      151.5000000       17.020       -1.672       -0.811
    -4.5000000        2.5000000      151.5000000       17.324       -1.749       -0.596
    -4.5000000        3.5000000      151.5000000       17.628       -1.826       -0.381
    -4.5000000        4.5000000      151.5000000       17.932       -1.903       -0.166
    -4.5000000       -4.5000000      152.5000000       16.650       -0.959       -2.023
    -4.5000000       -3.5000000      152.5000000       16.659       -1.074       -1.819
    -4.5000000       -2.5000000      152.5000000       16.668       -1.189       -1.615
    -4.5000000       -1.5000000      152.5000000       16.676       -1.304       -1.411
    -4.5000000       -0.5000000      152.5000000       16.685       -1.419       -1.208
    -4.5000000        0.5000000      152.5000000       16.837       -1.500       -1.023
    -4.5000000        1.5000000      152.5000000       17.131       -1.547       -0.856
    -4.5000000        2.5000000      152.5000000       17.426       -1.595       -0.689
    -4.5000000        3.5000000      152.5000000       17.720       -1.642       -0.523
    -4.5000000        4.5000000      152.5000000       18.014       -1.690       -0.356
    -4.5000000       -4.5000000      153.5000000       16.671       -0.852       -2.053
    -4.5000000       -3.5000000      153.5000000       16.703       -0.973       -1.837
    -4.5000000       -2.5000000      153.5000000       16.735       -1.094       -1.620
    -4.5000000       -1.5000000      153.5000000       16.768       -1.215       -1.403
    -4.5000000       -0.5000000      153.5000000       16.800       -1.335       -1.187
    -4.5000000        0.5000000      153.5000000       16.958       -1.405       -1.019
    -4.5000000        1.5000000      153.5000000       17.243       -1.423       -0.901
    -4.5000000        2.5000000      153.5000000       17.527       -1.440       -0.782
    -4.5000000        3.5000000      153.5000000       17.812       -1.458       -0.664
    -4.5000000        4.5000000      153.5000000       18.096       -1.476       -0.546
    -4.5000000       -4.5000000      154.5000000       16.692       -0.745       -2.084
    -4.5000000       -3.5000000      154.5000000       16.748       -0.872       -1.855
    -4.5000000       -2.5000000      154.5000000       16.803       -0.999       -1.625
    -4.5000000       -1.5000000      154.5000000       16.859       -1.125       -1.395
    -4.5000000       -0.5000000      154.5000000       16.915       -1.252       -1.166
    -4.5000000        0.5000000      154.5000000       17.080       -1.310       -1.016
    -4.5000000        1.5000000      154.5000000       17.354       -1.298       -0.946
    -4.5000000        2.5000000      154.5000000       17.629       -1.286       -0.876
    -4.5000000        3.5000000      154.5000000       17.904       -1.274       -0.806
    -4.5000000        4.5000000      154.5000000       18.178       -1.262       -0.735
    -3.5000000       -4.5000000      145.5000000       16.413       -1.597       -1.746
    -3.5000000       -3.5000000      145.5000000       16.499       -0.995       -1.382
    -3.5000000       -2.5000000      145.5000000       16.584       -0.392       -1.018
    -3.5000000       -1.5000000      145.5000000       16.670        0.210       -0.654
    -3.5000000       -0.5000000      145.5000000       16.756        0.813       -0.290
    -3.5000000        0.5000000      145.5000000       16.895        1.092       -0.192
    -3.5000000        1.5000000      145.5000000       17.088        1.048       -0.360
    -3.5000000        2.5000000      145.5000000       17.281        1.004       -0.529
    -3.5000000        3.5000000      145.5000000       17.473        0.960       -0.697
    -3.5000000        4.5000000      145.5000000       17.666        0.916       -0.866
    -3.5000000       -4.5000000      146.5000000       16.370       -1.552       -1.855
    -3.5000000       -3.5000000      146.5000000       16.422       -1.077       -1.520
    -3.5000000       -2.5000000      146.5000000       16.474       -0.601       -1.186
    -3.5000000       -1.5000000      146.5000000       16.527       -0.126       -0.851
    -3.5000000       -0.5000000      146.5000000       16.579        0.349       -0.516
    -3.5000000        0.5000000      146.5000000       16.723        0.542       -0.391
    -3.5000000        1.5000000      146.5000000       16.958        0.453       -0.476
    -3.5000000        2.5000000      146.5000000       17.193        0.364       -0.560
    -3.5000000        3.5000000      146.5000000       17.427        0.274       -0.645
    -3.5000000        4.5000000      146.5000000       17.662        0.185       -0.729
    -3.5000000       -4.5000000      147.5000000       16.326       -1.508       -1.963
    -3.5000000       -3.5000000      147.5000000       16.345       -1.159       -1.658
    -3.5000000       -2.5000000      147.5000000       16.364       -0.811       -1.353
    -3.5000000       -1.5000000      147.5000000       16.383       -0.462       -1.048
    -3.5000000       -0.5000000      147.5000000       16.402       -0.114       -0.743
    -3.5000000        0.5000000      147.5000000       16.550       -0.007       -0.591
    -3.5000000        1.5000000      147.5000000       16.827       -0.142       -0.591
    -3.5000000        2.5000000      147.5000000       17.104       -0.277       -0.592
    -3.5000000        3.5000000      147.5000000       17.381       -0.411       -0.592
    -3.5000000        4.5000000      147.5000000       17.658       -0.546       -0.592
    -3.5000000       -4.5000000      148.5000000       16.283       -1.463       -2.071
    -3.5000000       -3.5000000      148.5000000       16.269       -1.241       -1.796
    -3.5000000       -2.5000000      148.5000000       16.254       -1.020       -1.520
    -3.5000000       -1.5000000      148.5000000       16.240       -0.799       -1.245
    -3.5000000       -0.5000000      148.5000000       16.226       -0.577       -0.970
    -3.5000000        0.5000000      148.5000000       16.378       -0.557       -0.790
    -3.5000000        1.5000000      148.5000000       16.697       -0.737       -0.707
    -3.5000000        2.5000000      148.5000000       17.016       -0.917       -0.623
    -3.5000000        3.5000000      148.5000000       17.335       -1.097       -0.539
    -3.5000000        4.5000000      148.5000000       17.654       -1.277       -0.455
    -3.5000000       -4.5000000      149.5000000       16.240       -1.418       -2.179
    -3.5000000       -3.5000000      149.5000000       16.192       -1.324       -1.933
    -3.5000000       -2.5000000      149.5000000       16.144       -1.229       -1.688
    -3.5000000       -1.5000000      149.5000000       16.097       -1.135       -1.442
    -3.5000000       -0.5000000      149.5000000       16.049       -1.041       -1.197
    -3.5000000        0.5000000      149.5000000       16.205       -1.106       -0.990
    -3.5000000        1.5000000      149.5000000       16.567       -1.332       -0.822
    -3.5000000        2.5000000      149.5000000       16.928       -1.557       -0.654
    -3.5000000        3.5000000      149.5000000       17.289       -1.782       -0.486
    -3.5000000        4.5000000      149.5000000       17.651       -2.008       -0.319
    -3.5000000       -4.5000000      150.5000000       16.232       -1.337       -2.206
    -3.5000000       -3.5000000      150.5000000       16.186       -1.323       -1.993
    -3.5000000       -2.5000000      150.5000000       16.140       -1.309       -1.779
    -3.5000000       -1.5000000      150.5000000       16.094       -1.295       -1.565
    -3.5000000       -0.5000000      150.5000000       16.048       -1.281       -1.352
    -3.5000000        0.5000000      150.5000000       16.209       -1.384       -1.140
    -3.5000000        1.5000000      150.5000000       16.579       -1.606       -0.930
    -3.5000000        2.5000000      150.5000000       16.948       -1.827       -0.720
    -3.5000000        3.5000000      150.5000000       17.317       -2.048       -0.509
    -3.5000000        4.5000000      150.5000000       17.686       -2.270       -0.299
    -3.5000000       -4.5000000      151.5000000       16.257       -1.221       -2.153
    -3.5000000       -3.5000000      151.5000000       16.249       -1.240       -1.974
    -3.5000000       -2.5000000      151.5000000       16.240       -1.259       -1.794
    -3.5000000       -1.5000000      151.5000000       16.231       -1.278       -1.615
    -3.5000000       -0.5000000      151.5000000       16.222       -1.297       -1.435
    -3.5000000        0.5000000      151.5000000       16.390       -1.390       -1.240
    -3.5000000        1.5000000      151.5000000       16.733       -1.559       -1.029
    -3.5000000        2.5000000      151.5000000       17.076       -1.727       -0.819
    -3.5000000        3.5000000      151.5000000       17.419       -1.895       -0.608
    -3.5000000        4.5000000      151.5000000       17.762       -2.063       -0.397
    -3.5000000       -4.5000000      152.5000000       16.283       -1.104       -2.100
    -3.5000000       -3.5000000      152.5000000       16.312       -1.156       -1.955
    -3.5000000       -2.5000000      152.5000000       16.340       -1.209       -1.809
    -3.5000000       -1.5000000      152.5000000       16.369       -1.261       -1.664
    -3.5000000       -0.5000000      152.5000000       16.397       -1.313       -1.519
    -3.5000000        0.5000000      152.5000000       16.570       -1.397       -1.340
    -3.5000000        1.5000000      152.5000000       16.887       -1.512       -1.129
    -3.5000000        2.5000000      152.5000000       17.204       -1.626       -0.918
    -3.5000000        3.5000000      152.5000000       17.521       -1.741       -0.707
    -3.5000000        4.5000000      152.5000000       17.837       -1.856       -0.496
    -3.5000000       -4.5000000      153.5000000       16.309       -0.987       -2.047
    -3.5000000       -3.5000000      153.5000000       16.375       -1.073       -1.935
    -3.5000000       -2.5000000      153.5000000       16.441       -1.158       -1.824
    -3.5000000       -1.5000000      153.5000000       16.506       -1.244       -1.713
    -3.5000000       -0.5000000      153.5000000       16.572       -1.330       -1.602
    -3.5000000        0.5000000      153.5000000       16.750       -1.403       -1.441
    -3.5000000        1.5000000      153.5000000       17.041       -1.465       -1.229
    -3.5000000        2.5000000      153.5000000       17.332       -1.526       -1.017
    -3.5000000        3.5000000      153.5000000       17.622       -1.588       -0.805
    -3.5000000        4.5000000      153.5000000       17.913       -1.649       -0.594
    -3.5000000       -4.5000000      154.5000000       16.335       -0.870       -1.993
    -3.5000000       -3.5000000      154.5000000       16.438       -0.989       -1.916
    -3.5000000       -2.5000000      154.5000000       16.541       -1.108       -1.839
    -3.5000000       -1.5000000      154.5000000       16.644       -1.227       -1.762
    -3.5000000       -0.5000000      154.5000000       16.747       -1.346       -1.685
    -3.5000000        0.5000000      154.5000000       16.931       -1.410       -1.541
    -3.5000000        1.5000000      154.5000000       17.195       -1.418       -1.329
    -3.5000000        2.5000000      154.5000000       17.460       -1.426       -1.116
    -3.5000000        3.5000000      154.5000000       17.724       -1.434       -0.904
    -3.5000000        4.5000000      154.5000000       17.988       -1.442       -0.692
    -2.5000000       -4.5000000      145.5000000       16.127       -1.399       -1.557
    -2.5000000       -3.5000000      145.5000000       16.327       -0.784       -1.314
    -2.5000000       -2.5000000      145.5000000       16.527       -0.169       -1.071
    -2.5000000       -1.5000000      145.5000000       16.728        0.446       -0.828
    -2.5000000       -0.5000000      145.5000000       16.928        1.061       -0.586
    -2.5000000        0.5000000      145.5000000       17.093        1.331       -0.434
    -2.5000000        1.5000000      145.5000000       17.224        1.256       -0.375
    -2.5000000        2.5000000      145.5000000       17.354        1.181       -0.315
    -2.5000000        3.5000000      145.5000000       17.485        1.106       -0.256
    -2.5000000        4.5000000      145.5000000       17.615        1.031       -0.196
    -2.5000000       -4.5000000      146.5000000       16.066       -1.380       -1.664
    -2.5000000       -3.5000000      146.5000000       16.222       -0.907       -1.467
    -2.5000000       -2.5000000      146.5000000       16.377       -0.434       -1.270
    -2.5000000       -1.5000000      146.5000000       16.532        0.039       -1.072
    -2.5000000       -0.5000000      146.5000000       16.687        0.512       -0.875
    -2.5000000        0.5000000      146.5000000       16.852        0.695       -0.697
    -2.5000000        1.5000000      146.5000000       17.025        0.589       -0.537
    -2.5000000        2.5000000      146.5000000       17.199        0.482       -0.378
    -2.5000000        3.5000000      146.5000000       17.373        0.376       -0.218
    -2.5000000        4.5000000      146.5000000       17.547        0.269       -0.058
    -2.5000000       -4.5000000      147.5000000       16.006       -1.361       -1.772
    -2.5000000       -3.5000000      147.5000000       16.116       -1.030       -1.620
    -2.5000000       -2.5000000      147.5000000       16.226       -0.699       -1.468
    -2.5000000       -1.5000000      147.5000000       16.336       -0.368       -1.316
    -2.5000000       -0.5000000      147.5000000       16.447       -0.037       -1.165
    -2.5000000        0.5000000      147.5000000       16.610        0.060       -0.959
    -2.5000000        1.5000000      147.5000000       16.827       -0.078       -0.699
    -2.5000000        2.5000000      147.5000000       17.044       -0.216       -0.440
    -2.5000000        3.5000000      147.5000000       17.261       -0.354       -0.181
    -2.5000000        4.5000000      147.5000000       17.478       -0.492        0.079
    -2.5000000       -4.5000000      148.5000000       15.945       -1.342       -1.880
    -2.5000000       -3.5000000      148.5000000       16.010       -1.153       -1.773
    -2.5000000       -2.5000000      148.5000000       16.075       -0.964       -1.667
    -2.5000000       -1.5000000      148.5000000       16.141       -0.775       -1.560
    -2.5000000       -0.5000000      148.5000000       16.206       -0.585       -1.454
    -2.5000000        0.5000000      148.5000000       16.369       -0.576       -1.221
    -2.5000000        1.5000000      148.5000000       16.629       -0.745       -0.862
    -2.5000000        2.5000000      148.5000000       16.889       -0.915       -0.502
    -2.5000000        3.5000000      148.5000000       17.150       -1.084       -0.143
    -2.5000000        4.5000000      148.5000000       17.410       -1.253        0.216
    -2.5000000       -4.5000000      149.5000000       15.884       -1.323       -1.987
    -2.5000000       -3.5000000      149.5000000       15.904       -1.276       -1.926
    -2.5000000       -2.5000000      149.5000000       15.925       -1.229       -1.865
    -2.5000000       -1.5000000      149.5000000       15.945       -1.181       -1.804
    -2.5000000       -0.5000000      149.5000000       15.965       -1.134       -1.744
    -2.5000000        0.5000000      149.5000000       16.127       -1.211       -1.483
    -2.5000000        1.5000000      149.5000000       16.431       -1.412       -1.024
    -2.5000000        2.5000000      149.5000000       16.735       -1.613       -0.565
    -2.5000000        3.5000000      149.5000000       17.038       -1.814       -0.105
    -2.5000000        4.5000000      149.5000000       17.342       -2.015        0.354
    -2.5000000       -4.5000000      150.5000000       15.890       -1.309       -2.050
    -2.5000000       -3.5000000      150.5000000       15.903       -1.345       -2.018
    -2.5000000       -2.5000000      150.5000000       15.916       -1.380       -1.986
    -2.5000000       -1.5000000      150.5000000       15.928       -1.415       -1.954
    -2.5000000       -0.5000000      150.5000000       15.941       -1.450       -1.922
    -2.5000000        0.5000000      150.5000000       16.106       -1.562       -1.663
