MAP Output File.
Outputs were generated using MAP 0.87.06a-mdm on <2013-09-24.10:00:38>

Time           TFair[1]       TAnch[1]       TFair[2]       TAnch[2]       
[s]            [kN]           [kN]           [kN]           [kN]           
0.0125         274.517        0.000          274.621        0.000          
0.025          274.517        0.000          274.620        0.000          
0.0375         274.516        0.000          274.620        0.000          
0.05           274.515        0.000          274.619        0.000          
0.0625         274.517        0.000          274.619        0.000          
0.075          274.515        0.000          274.617        0.000          
0.0875         274.513        0.000          274.616        0.000          
0.1            274.514        0.000          274.615        0.000          
0.1125         274.514        0.000          274.614        0.000          
0.125          274.511        0.000          274.612        0.000          
0.1375         274.511        0.000          274.610        0.000          
0.15           274.510        0.000          274.608        0.000          
0.1625         274.509        0.000          274.606        0.000          
0.175          274.508        0.000          274.603        0.000          
0.1875         274.503        0.000          274.599        0.000          
0.2            274.503        0.000          274.597        0.000          
0.2125         274.501        0.000          274.593        0.000          
0.225          274.498        0.000          274.590        0.000          
0.2375         274.495        0.000          274.585        0.000          
0.25           274.491        0.000          274.581        0.000          
0.2625         274.489        0.000          274.577        0.000          
0.275          274.485        0.000          274.571        0.000          
0.2875         274.483        0.000          274.566        0.000          
0.3            274.477        0.000          274.560        0.000          
0.3125         274.474        0.000          274.555        0.000          
0.325          274.470        0.000          274.549        0.000          
0.3375         274.464        0.000          274.542        0.000          
0.35           274.460        0.000          274.535        0.000          
0.3625         274.455        0.000          274.528        0.000          
0.375          274.450        0.000          274.521        0.000          
0.3875         274.444        0.000          274.513        0.000          
0.4            274.439        0.000          274.505        0.000          
0.4125         274.432        0.000          274.496        0.000          
0.425          274.428        0.000          274.488        0.000          
0.4375         274.421        0.000          274.479        0.000          
0.45           274.414        0.000          274.470        0.000          
0.4625         274.408        0.000          274.460        0.000          
0.475          274.400        0.000          274.450        0.000          
0.4875         274.394        0.000          274.440        0.000          
0.5            274.385        0.000          274.429        0.000          
0.5125         274.378        0.000          274.418        0.000          
0.525          274.371        0.000          274.407        0.000          
0.5375         274.360        0.000          274.395        0.000          
0.55           274.352        0.000          274.383        0.000          
0.5625         274.343        0.000          274.370        0.000          
0.575          274.334        0.000          274.357        0.000          
0.5875         274.324        0.000          274.344        0.000          
0.6            274.314        0.000          274.330        0.000          
0.6125         274.304        0.000          274.315        0.000          
0.625          274.293        0.000          274.300        0.000          
0.6375         274.281        0.000          274.285        0.000          
0.65           274.269        0.000          274.269        0.000          
0.6625         274.259        0.000          274.254        0.000          
0.675          274.246        0.000          274.237        0.000          
0.6875         274.233        0.000          274.220        0.000          
0.7            274.219        0.000          274.202        0.000          
0.7125         274.207        0.000          274.184        0.000          
0.725          274.192        0.000          274.165        0.000          
0.7375         274.179        0.000          274.146        0.000          
0.75           274.163        0.000          274.126        0.000          
0.7625         274.146        0.000          274.105        0.000          
0.775          274.131        0.000          274.085        0.000          
0.7875         274.116        0.000          274.064        0.000          
0.8            274.097        0.000          274.041        0.000          
0.8125         274.080        0.000          274.019        0.000          
0.825          274.061        0.000          273.995        0.000          
0.8375         274.043        0.000          273.971        0.000          
0.85           274.024        0.000          273.946        0.000          
0.8625         274.003        0.000          273.920        0.000          
0.875          273.983        0.000          273.894        0.000          
0.8875         273.962        0.000          273.868        0.000          
0.9            273.941        0.000          273.841        0.000          
0.9125         273.917        0.000          273.812        0.000          
0.925          273.894        0.000          273.783        0.000          
